,cleaned_required_skills,simplified_job_title,count
486,data enhancement,Intern,1
487,data entry,Data Analyst,6
488,data entry,Intern,1
489,data exploration,Data Scientist,5
490,data extraction,Data Analyst,6
491,data extraction,Data Scientist,5
492,data extraction,Intern,1
493,data flow,Data Analyst,1
494,data fluency,Data Analyst,1
495,data gathering,Data Scientist,2
496,data governance,Business Intelligence,2
497,data governance,Data Analyst,18
498,data governance,Data Scientist,3
499,data handling,Data Analyst,1
500,data infrastructure,Data Scientist,1
501,data ingestion,Data Analyst,1
502,data insight,Business Intelligence,1
503,data insight,Data Analyst,1
504,data insight,Data Scientist,2
505,data instrumentation,Data Analyst,1
506,data integration,Data Analyst,5
507,data integrity,Data Analyst,6
508,data integrity,Data Scientist,2
509,data intelligence,Data Analyst,1
510,data lake,Data Analyst,4
511,data lake,Data Scientist,2
512,data lakehouse,Data Analyst,1
513,data loading,Data Scientist,1
514,data management,Business Intelligence,7
515,data management,Data Analyst,22
516,data management,Data Scientist,21
517,data management lifecycle,Data Analyst,1
518,data management platform,Data Analyst,1
519,data management tool,Data Analyst,1
520,data manipulation,Business Intelligence,1
521,data manipulation,Data Analyst,14
522,data manipulation,Data Scientist,6
523,data mapping,Data Analyst,4
524,data migration,Data Analyst,2
525,data mining,Business Intelligence,4
526,data mining,Data Analyst,11
527,data mining,Data Scientist,40
528,data mining,Intern,1
529,data mining algorithm,Data Scientist,1
530,data model,Data Analyst,3
531,data model,Data Scientist,2
532,data model optimization,Data Analyst,1
533,data modeling,Business Intelligence,11
534,data modeling,Data Analyst,27
535,data modeling,Data Scientist,20
536,data modelling,Data Analyst,2
537,data modelling,Data Scientist,1
538,data normalization,Data Scientist,2
539,data onboarding,Data Analyst,1
540,data ops,Data Scientist,1
541,data parsing,Data Scientist,1
542,data pipeline,Business Intelligence,1
543,data pipeline,Data Analyst,9
544,data pipeline,Data Scientist,11
545,data pipelining,Business Intelligence,1
546,data platform,Data Analyst,1
547,data policy,Data Analyst,1
548,data preparation,Data Analyst,2
549,data preprocessing,Data Scientist,2
550,data preprocessing,Intern,1
551,data presentation,Data Analyst,1
552,data privacy,Data Scientist,2
553,data privacy regulation,Data Analyst,1
554,data processing,Data Analyst,2
555,data processing,Data Scientist,6
556,data product,Business Intelligence,1
557,data profiling,Business Intelligence,1
558,data profiling,Data Analyst,4
559,data protection,Data Analyst,1
560,data quality,Business Intelligence,1
561,data quality,Data Analyst,9
562,data quality,Data Scientist,4
563,data quality management,Data Analyst,1
564,data querying,Data Analyst,2
565,data querying,Data Scientist,5
566,data querying,Intern,1
567,data reporting,Data Analyst,6
568,data science,Business Intelligence,1
569,data science,Data Analyst,6
570,data science,Data Scientist,107
571,data science,Intern,5
572,data science library,Data Scientist,1
573,data science life cycle,Data Scientist,1
574,data science method,Data Analyst,1
575,data science model,Data Scientist,1
576,data science tool,Data Scientist,3
577,data scientist,Data Scientist,3
578,data scripting,Data Scientist,1
579,data security,Data Analyst,3
580,data security,Data Scientist,2
581,data solution,Data Analyst,1
582,data solution,Data Scientist,2
583,data source analysis,Data Scientist,2
584,data stack expertise,Data Analyst,1
585,data standard,Data Analyst,1
586,data standardization,Data Scientist,1
587,data storytelling,Data Analyst,5
588,data storytelling,Data Scientist,4
589,data strategy,Data Analyst,1
590,data structure,Business Intelligence,1
591,data structure,Data Analyst,2
592,data structure,Data Scientist,3
593,data synthesis,Business Intelligence,1
594,data testing,Data Analyst,1
595,data tool,Data Scientist,2
596,data transformation,Business Intelligence,1
597,data transformation,Data Analyst,5
598,data transformation,Data Scientist,1
599,data triage,Data Scientist,1
600,data validation,Business Intelligence,2
601,data validation,Data Analyst,11
602,data validation,Data Scientist,2
603,data vault,Data Analyst,1
604,data visualisation,Intern,1
605,data visualization,Business Intelligence,23
606,data visualization,Data Analyst,121
607,data visualization,Data Scientist,102
608,data visualization,Intern,11
609,data visualization software,Data Scientist,1
610,data visualization tool,Data Analyst,1
